Player,Team,Nationality,Kill,Death,K/D,KAST,Prize,Role,HS %,Rounds Played,Rounds Win,Rounds Lose,Rank
Sacy,LOUD,Brazil,147,123,1.20,76%,"	$60,000.00",Initiator,25.50,222,155,67,1
saadhak,LOUD,Argentina,150,143,1.05,76%,"	$60,000.00",Initiator,22.50,222,155,67,1
pANcada,LOUD,Brazil,169,137,1.23,81%,"	$60,000.00",Controller,36.75,222,155,67,1
Less,LOUD,Brazil,176,134,1.31,73%,"	$60,000.00",Sentinel,26.50,222,155,67,1
aspas,LOUD,Brazil,166,158,1.05,71%,"	$60,000.00",Duelist,26.25,222,155,67,1
yay,OPTC,United States,334,236,1.42,71%,"	$30,000.00",Duelist,28.60,365,181,184,2
Marved,OPTC,Canada,240,252,0.95,73%,"	$30,000.00",Controller,30.80,365,181,184,2
Victor,OPTC,United States,247,254,0.97,69%,"	$30,000.00",Duelist,25.40,365,181,184,2
crashies,OPTC,United States,238,246,0.97,72%,"	$30,000.00",Initiator,26.60,365,181,184,2
FNS,OPTC,Canada,188,247,0.76,67%,"	$30,000.00",Sentinel,20.40,365,181,184,2
MaKo,DRX,South Corea,224,197,1.14,77%,"	$22,000.00",Controller,31.20,313,145,168,3
BuZz,DRX,South Corea,235,237,0.99,66%,"	$22,000.00",Duelist,27.40,313,145,168,3
Zest,DRX,South Corea,205,218,0.94,70%,"	$22,000.00",Initiator,36.00,313,145,168,3
stax,DRX,South Corea,192,207,0.93,69%,"	$22,000.00",Initiator,38.80,313,145,168,3
Rb,DRX,South Corea,192,228,0.84,69%,"	$22,000.00",Flex,25.80,313,145,168,3
Zyppan,FPX,Sweeden,171,161,1.06,72%,"	$16,000.00",Duelist,25.75,214,118,96,4
ardiis,FPX,Latvia,178,166,1.07,71%,"	$16,000.00",Sentinel,20.75,214,118,96,4
SUYGETSU,FPX,International,153,142,1.08,70%,"	$16,000.00",Controller,33.00,214,118,96,4
Shao,FPX,International,130,130,1.00,79%,"	$16,000.00",Flex,29.75,214,118,96,4
ANGE1,FPX,Ukraine,99,168,0.59,60%,"	$16,000.00",Flex,29.00,214,118,96,4
AYRIN,XSET,Canada,135,122,1.11,68%,"	$12,000.00",Flex,16.67,183,71,112,5
BcJ,XSET,United States,119,128,0.93,73%,"	$12,000.00",Flex,15.00,183,71,112,5
Cryocells,XSET,United States,156,119,1.31,68%,"	$12,000.00",Flex,26.33,183,71,112,5
dephh,XSET,United Kingdom,107,129,0.83,72%,"	$12,000.00",Flex,27.00,183,71,112,5
zekken,XSET,United States,121,141,0.86,63%,"	$12,000.00",Flex,23.00,183,71,112,5
Derke,FNC,Finland,147,99,1.48,69%,"	$12,000.00",Flex,33.33,152,79,73,5
Enzo,FNC,France,93,84,1.11,77%,"	$12,000.00",Initiator,20.67,152,79,73,5
Alfajer,FNC,Turkey,115,92,1.25,68%,"	$12,000.00",Flex,30.33,152,79,73,5
Boaster,FNC,United Kingdom,92,97,0.95,73%,"	$12,000.00",Controller,20.67,152,79,73,5
Mistic,FNC,United Kingdom,85,99,0.86,79%,"	$12,000.00",Flex,24.67,152,79,73,5
Nivera,TL,Belgium,60,77,0.78,57%,"	$8,000.00",Flex,33.50,81,42,39,6
Jamppi,TL,Finland,61,75,0.81,64%,"	$8,000.00",Sentinel,29.00,81,42,39,6
Scream,TL,Belgium,69,73,0.95,60%,"	$8,000.00",Duelist,27.00,81,42,39,6
dimasick,TL,Kazakhstan,54,74,0.73,67%,"	$8,000.00",Controller,38.50,81,42,39,6
soulcas,TL,United Kingdom,63,75,0.84,70%,"	$8,000.00",Initiator,33.50,81,42,39,6
kiNgg,LEV,Chile,82,54,1.52,75%,"	$8,000.00",Flex,27.00,88,35,53,6
adverso,LEV,Chile,59,64,0.92,70%,"	$8,000.00",Initiator,22.50,88,35,53,6
Melser,LEV,Chile,54,57,0.95,70%,"	$8,000.00",Flex,27.50,88,35,53,6
Tacolilla,LEV,Chile,51,68,0.75,63%,"	$8,000.00",Sentinel,24.00,88,35,53,6
Shyy,LEV,Chile,39,64,0.61,71%,"	$8,000.00",Initiator,22.00,88,35,53,6
